stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type
5562,,Zinkoenea 2,43.267855907329,-1.973321037772311,1.0,0
1381,,Sidrerias Hernani,43.26597557234206,-1.9704940054633595,1.0,0
5547,,Zinkoenea,43.26828192915117,-1.973634253315415,1.0,0
5558,,Elkano,43.2670400845014,-1.9767356030447905,1.0,0
5548,,Florida 23 (lidl),43.27032228117637,-1.9712217050848635,1.0,0
5549,,Florida 69 ( Etxe Haundi),43.27195876905116,-1.9669673758958053,1.0,0
5550,,Florida 100,43.272451473486754,-1.9656897704931275,1.0,0
5551,,Etxeberri (frontoia),43.273462048519306,-1.965919118621476,1.0,0
5552,,Cumbre,43.27339119381185,-1.964059514025568,1.0,0
5553,,Bestizan,43.27302258499613,-1.9631292089238268,1.0,0
5554,,Bolatoki,43.27236877416209,-1.9655063261217864,1.0,0
5555,,Florida 69 (etxe Haundi 2),43.27204146604585,-1.967150821069627,1.0,0
5556,,Sagastialde,43.27168421370378,-1.9704717136206933,1.0,0
5557,,Antziola,43.27237049031489,-1.9767079072565867,1.0,0
2501,,Antziola Auzoa 17,43.27150321320363,-1.9763897228517564,1.0,0
2516,,Antziola 10,43.26961185100415,-1.9753370469472469,1.0,0
5177,,Urbieta Kalea,43.26751177401454,-1.9771220056673675,1.0,0
4102,,Izpizua Kalea - Aratz Ikastetxea,43.265060104533845,-1.9788634314046127,1.0,0
5563,,ZikuÃ±aga Goia,43.26209003021763,-1.967984412741552,1.0,0
5564,,ZikuÃ±aga Auzoa,43.26347173045934,-1.968429276658062,1.0,0
1734,,Karabel Biribilgunea,43.2660289491016,-1.968423056306524,1.0,0
337,,Santa Barbara Bailara - Hilerria,43.26185026836962,-1.9793975991735329,1.0,0
1610,,Karabel Zubia,43.26591232871188,-1.97047042798568,1.0,0
2524,,Marieluts,43.26943564824665,-1.9808111544235687,1.0,0
5559,,Osasun Zentroa,43.26758600243034,-1.977367203378203,1.0,0
5561,,Institutoa,43.26179734860699,-1.9795216919729373,1.0,0
1614,,Portu,43.26320858390293,-1.9742123418836883,1.0,0
4056,,Fermin CalbetÃ³n,43.339347663823816,-1.7889074092422743,9.0,0
100,,Colon-zabaltza,43.34010698708233,-1.7925933105238414,9.0,0
1287,,Colon 52-topo,43.34080278574313,-1.7962435485932609,9.0,0
4178,,Hondarribia Kalea,43.34248958616137,-1.7990971071288415,9.0,0
102,,Mendelu Kalea 17,43.34714876868011,-1.8011890863975883,9.0,0
1288,,N-638 - Amute,43.35119645809997,-1.7982097663410808,9.0,0
57,,Aeropuerto San Sebastian,43.35673940848777,-1.7944353759924103,9.0,0
52,,Sabin Arana Kalea 3,43.36173463605476,-1.789967728979747,9.0,0
7195,,Matxin Arzu-itsas Etxea,43.36730489539293,-1.793053613408263,9.0,0
104,,Itsasargi K. 20 - La Muela,43.371253161562905,-1.793469028735636,9.0,0
4047,,Foru Kalea-arroka,43.3747899499956,-1.7967070091385682,9.0,0
1294,,RamÃ³n Iribarren 15- Iterlimen,43.38032517320179,-1.7981900123937549,9.0,0
1292,,Ramon Iribarren Pas. - Lurgorri,43.38367978280345,-1.7960990758938418,9.0,0
654,,Gipuzkoa Plaza 11,43.32104748620295,-1.9816383445680348,1.0,0
24,,Mirakruz K. 26,43.32221825513564,-1.9736022860926992,1.0,0
108,,Jai Alai,43.32206370193461,-1.9664393885236355,1.0,0
4050,,Jose Elosegi 2 - Ategorrieta,43.32170996112625,-1.9592059308115368,1.0,0
27,,Mirakruz Gaina,43.3212761088388,-1.948200073349171,1.0,0
651,,Jose Elosegi 111,43.32051085946552,-1.9433295162440007,1.0,0
28,,Jose Elosegi 134 - Herrera,43.319950411172925,-1.9382335287732315,1.0,0
111,,Oleta / Escalerillas,43.32125188909426,-1.9310207970405555,1.0,0
4014,,Buenavista,43.32077783140341,-1.921767195042352,1.0,0
30,,Nafarroa Hiribidea 5,43.319354328202046,-1.9188202412883215,1.0,0
208,,Nafarroa Hiribidea 24,43.31813372466696,-1.9154381885716123,1.0,0
179,,Sorgintxulo 11,43.316331712263406,-1.9096372661918823,1.0,0
180,,Kristobal Gamon Ikastetxea,43.31761994989249,-1.9078137374189768,1.0,0
181,,Alaberga.telefonica,43.31520447525814,-1.9075733755183988,1.0,0
182,,Beraungo Anbulategia,43.31414276783825,-1.9104902817806635,1.0,0
1715,,Galtzaraborda Etorb. 61,43.31168715885521,-1.9126550737721213,1.0,0
1716,,Galtzaraborda Etorb. - Koldo Mitxelena,43.31095259527432,-1.9083277348253151,1.0,0
126,,Iparralde Etorbidea-eliza,43.30010931519302,-1.8601320847289469,1.0,0
130,,Arraskularre,43.29669413401504,-1.858075491035952,1.0,0
131,,Altzibar,43.29345365657221,-1.857285553442774,1.0,0
132,,PeÃ±ene,43.29262275195655,-1.8597418716432237,1.0,0
133,,Iturriotz,43.2931777102426,-1.8657471649933592,1.0,0
134,,Ibarre,43.29626797136786,-1.872297424207872,1.0,0
135,,Ugaldetxo,43.299051754715016,-1.8770170496237228,1.0,0
4105,,Astigarragako Bidea 3,43.29952793501639,-1.8805835399207695,1.0,0
136,,Mamut Merk.gunea,43.30117741889679,-1.8816751944623609,1.0,0
137,,Arragua,43.30894180808331,-1.8819397368032305,1.0,0
4166,,Nafarroa Hiribidea 2,43.31080690553055,-1.884827931442992,1.0,0
80,,Nafarroa Hiribidea,43.31073841601165,-1.8907479365651865,1.0,0
79,,Gamon Zumardia,43.31279749947261,-1.89696237712492,1.0,0
138,,Diputazio Pl.,43.31495943401207,-1.9026697915164077,1.0,0
